id,sub_component,tmscores2
1GH0,sub-component_all/1GH0_0-0-1_4.pdb,0.9807
7NRQ,sub-component_all/7NRQ_0-0-0-0_4.pdb,0.0464
5JQL,sub-component_all/5JQL_0-0-0-0_2.pdb,0.2474
6ZEE,sub-component_all/6ZEE_0-0-0-1_2.pdb,0.4298
6YBQ,sub-component_all/6YBQ_1-1-1-1_4.pdb,0.1854
3ONR,sub-component_all/3ONR_0-0-0-0_0.pdb,0.7311
1TYF,sub-component_all/1TYF_0-0-0-0_0.pdb,0.9336
6RO0,sub-component_all/6RO0_0-2-4_0.pdb,0.5766
6SSI,sub-component_all/6SSI_0-0-1-1_3.pdb,0.545
5AA5,sub-component_all/5AA5_0-0-0-1_4.pdb,0.7632
6Z1F,sub-component_all/6Z1F_0-1-1-1_4.pdb,0.8376
7CGE,sub-component_all/7CGE_2-2-2_3.pdb,0.4499
6NHT,sub-component_all/6NHT_0-0-0-0_1.pdb,0.2067
6RO0,sub-component_all/6RO0_0-0-1_0.pdb,0.3691
1X9F,sub-component_all/1X9F_2-2-3_4.pdb,0.7485
2BX9,sub-component_all/2BX9_0-0-0-0_2.pdb,0.276
6G94,sub-component_all/6G94_0-0-0-1_0.pdb,0.7524
6G94,sub-component_all/6G94_0-0-1-2_4.pdb,0.8944
6RO0,sub-component_all/6RO0_1-1-2_1.pdb,0.4035
6W6M,sub-component_all/6W6M_0-0-0-0_1.pdb,0.695
1Z6O,sub-component_all/1Z6O_0-0-1-1_2.pdb,0.9837
5K2M,sub-component_all/5K2M_0-0-0_0.pdb,0.9938
6S5L,sub-component_all/6S5L_0-0-0-0_4.pdb,0.4525
6NHT,sub-component_all/6NHT_0-1-1-1_4.pdb,0.5276
6NHT,sub-component_all/6NHT_0-1-1-1_3.pdb,0.5255
6YBQ,sub-component_all/6YBQ_0-1-1-1_0.pdb,0.4398
6PYT,sub-component_all/6PYT_0-0-0-1_1.pdb,0.8205
6SQR,sub-component_all/6SQR_113.pdb,0.6204
1AVO,sub-component_all/1AVO_0-1-1-1_4.pdb,0.9909
7JZ2,sub-component_all/7JZ2_0-0-2_0.pdb,0.4017
2VYR,sub-component_all/2VYR_1-1-1-1_1.pdb,0.3419
2DD4,sub-component_all/2DD4_0-0-0-2_4.pdb,0.6018
2V5H,sub-component_all/2V5H_0-0-1-1_4.pdb,0.5962
6RO0,sub-component_all/6RO0_4-4-4_4.pdb,0.4153
4BHU,sub-component_all/4BHU_0-0-0-0_1.pdb,0.3707
6X04,sub-component_all/6X04_0-1-1-1_0.pdb,0.5771
6GRJ,sub-component_all/6GRJ_0-0-0-0_0.pdb,0.3391
6G94,sub-component_all/6G94_0-1-1-1_0.pdb,0.5488
1YKK,sub-component_all/1YKK_0-0-1-1_3.pdb,0.9947
5NFR,sub-component_all/5NFR_0-0-0-0_0.pdb,0.9672
4RDQ,sub-component_all/4RDQ_0-1-1-1_2.pdb,0.4887
6RO0,sub-component_all/6RO0_0-3-4_2.pdb,0.7752
6SQR,sub-component_all/6SQR_122.pdb,0.7147
7JZ2,sub-component_all/7JZ2_0-0-0_2.pdb,0.3317
1DW9,sub-component_all/1DW9_0-0-0-0_0.pdb,0.9726
6S5L,sub-component_all/6S5L_0-0-0-0_2.pdb,0.3317
5AA5,sub-component_all/5AA5_0-0-0-1_0.pdb,0.8122
7NRQ,sub-component_all/7NRQ_0-0-0-0_3.pdb,0.0613
6RO0,sub-component_all/6RO0_2-2-2_1.pdb,0.4029
4BHU,sub-component_all/4BHU_0-1-1-1_4.pdb,0.3904
1S3Q,sub-component_all/1S3Q_0-0-0-0_3.pdb,0.7507
6Z1F,sub-component_all/6Z1F_0-0-1-2_3.pdb,0.4893
2G9T,sub-component_all/2G9T_0-0-0-0_2.pdb,0.3761
2VYR,sub-component_all/2VYR_0-0-1-1_4.pdb,0.371
1Z6O,sub-component_all/1Z6O_1-1-1-1_2.pdb,0.439
6NHT,sub-component_all/6NHT_0-1-1-1_0.pdb,0.5356
6LQH,sub-component_all/6LQH_0-1-1-1_3.pdb,0.4185
5N5E,sub-component_all/5N5E_0-0-0-0_0.pdb,0.9688
4JPN,sub-component_all/4JPN_0-0-0-0_2.pdb,0.3576
1Q95,sub-component_all/1Q95_0-0-0-0_2.pdb,0.7602
7JZ2,sub-component_all/7JZ2_1-1-2_4.pdb,0.6526
1AVO,sub-component_all/1AVO_1-1-1-1_2.pdb,0.9915
6OFG,sub-component_all/6OFG_0-0-0-0_1.pdb,0.4551
6MST,sub-component_all/6MST_0-0-0-0_2.pdb,0.2123
6NHT,sub-component_all/6NHT_0-1-1-1_1.pdb,0.5409
4BHU,sub-component_all/4BHU_0-0-0-0_3.pdb,0.4522
2WYR,sub-component_all/2WYR_0-0-0-0_3.pdb,0.5462
6LNI,sub-component_all/6LNI_0-0-0-0_0.pdb,0.0972
4BHU,sub-component_all/4BHU_0-1-1-1_3.pdb,0.4187
6OVH,sub-component_all/6OVH_0-0-0-0_2.pdb,0.376
5LK5,sub-component_all/5LK5_0-0-0-0_4.pdb,0.3686
6ZEE,sub-component_all/6ZEE_0-0-0-0_4.pdb,0.3077
6Z1F,sub-component_all/6Z1F_0-1-1-1_1.pdb,0.8242
1YKK,sub-component_all/1YKK_0-0-0-0_4.pdb,0.3412
6Z1F,sub-component_all/6Z1F_0-1-1-2_2.pdb,0.8905
6Z1F,sub-component_all/6Z1F_0-1-2-2_3.pdb,0.7191
1M3U,sub-component_all/1M3U_0-0-0-0_0.pdb,0.9872
6RO0,sub-component_all/6RO0_1-1-2_2.pdb,0.3816
1BCF,sub-component_all/1BCF_0-0-0-0_3.pdb,0.4726
6RO0,sub-component_all/6RO0_2-2-2_3.pdb,0.3837
4BHU,sub-component_all/4BHU_0-0-1-1_0.pdb,0.4399
6RO0,sub-component_all/6RO0_0-0-2_1.pdb,0.5509
2VYC,sub-component_all/2VYC_0-0-0-0_3.pdb,0.5001
4RSU,sub-component_all/4RSU_0-1-1-1_3.pdb,0.6923
6OFG,sub-component_all/6OFG_0-0-0-0_2.pdb,0.364
6SQR,sub-component_all/6SQR_014.pdb,0.9168
2V7Q,sub-component_all/2V7Q_014.pdb,0.8874
6J0B,sub-component_all/6J0B_0-1-1-1_2.pdb,0.4802
2V5H,sub-component_all/2V5H_1-1-1-1_4.pdb,0.468
6RO0,sub-component_all/6RO0_4-4-4_3.pdb,0.4155
6RD7,sub-component_all/6RD7_0-0-0-0_3.pdb,0.4557
6SQR,sub-component_all/6SQR_222.pdb,0.4411
1DPS,sub-component_all/1DPS_0-0-0-0_3.pdb,0.5377
6ESQ,sub-component_all/6ESQ_1-1-1-1_2.pdb,0.4899
1DW9,sub-component_all/1DW9_0-0-0-0_3.pdb,0.6479
6NHT,sub-component_all/6NHT_0-0-0-1_2.pdb,0.2019
2V7Q,sub-component_all/2V7Q_000.pdb,0.6838
2NV2,sub-component_all/2NV2_0-0-1-1_0.pdb,0.9207
2EWC,sub-component_all/2EWC_0-0-0-0_3.pdb,0.5275
2DD4,sub-component_all/2DD4_0-0-0-0_0.pdb,0.3453
6RO0,sub-component_all/6RO0_2-2-2_0.pdb,0.3791
6RO0,sub-component_all/6RO0_0-1-3_1.pdb,0.435
2VYR,sub-component_all/2VYR_0-1-1-1_4.pdb,0.4514
7CGE,sub-component_all/7CGE_2-2-2_1.pdb,0.411
7CGE,sub-component_all/7CGE_0-2-2_1.pdb,0.6782
2V7Q,sub-component_all/2V7Q_002.pdb,0.6873
6RO0,sub-component_all/6RO0_2-3-3_3.pdb,0.7825
2DD4,sub-component_all/2DD4_0-0-0-2_0.pdb,0.6101
7AJP,sub-component_all/7AJP_0-0-0-0_3.pdb,0.554
5JQL,sub-component_all/5JQL_1-1-1-1_4.pdb,0.1987
1TYF,sub-component_all/1TYF_0-0-0-0_1.pdb,0.9298
1Z6O,sub-component_all/1Z6O_1-1-1-1_0.pdb,0.3998
2NV2,sub-component_all/2NV2_1-1-1-1_2.pdb,0.3766
1M5Q,sub-component_all/1M5Q_0-0-0-0_1.pdb,0.7958
6ZEE,sub-component_all/6ZEE_0-1-1-1_2.pdb,0.6998
2DD4,sub-component_all/2DD4_2-2-2-2_0.pdb,0.4292
2DD4,sub-component_all/2DD4_0-0-1-2_0.pdb,0.8923
3U6X,sub-component_all/3U6X_1-1-1-1_0.pdb,0.6757
3ZIA,sub-component_all/3ZIA_001.pdb,0.9222
6RO0,sub-component_all/6RO0_1-2-3_4.pdb,0.8264
1PCQ,sub-component_all/1PCQ_0-1-1-1_3.pdb,0.6879
1Q95,sub-component_all/1Q95_0-0-1-1_1.pdb,0.9484
5JQL,sub-component_all/5JQL_0-1-1-1_0.pdb,0.4658
6RO0,sub-component_all/6RO0_3-3-3_0.pdb,0.3988
1NLX,sub-component_all/1NLX_0-0-0-0_4.pdb,0.3215
6RO0,sub-component_all/6RO0_0-0-1_3.pdb,0.4056
2NV2,sub-component_all/2NV2_0-1-1-1_1.pdb,0.7569
6ESQ,sub-component_all/6ESQ_0-0-0-1_1.pdb,0.767
6RO0,sub-component_all/6RO0_0-3-4_3.pdb,0.6423
6WBN,sub-component_all/6WBN_0-0-0-0_1.pdb,0.89
3N99,sub-component_all/3N99_0-0-0-0_0.pdb,0.9399
6ESQ,sub-component_all/6ESQ_0-0-0-1_4.pdb,0.7552
7JZ2,sub-component_all/7JZ2_1-1-3_4.pdb,0.6027
6ESQ,sub-component_all/6ESQ_0-1-2-2_2.pdb,0.9899
6YBQ,sub-component_all/6YBQ_0-0-1-1_4.pdb,0.6045
6G94,sub-component_all/6G94_0-0-0-1_1.pdb,0.759
1IWA,sub-component_all/1IWA_0-0-1-1_3.pdb,0.9649
3TXQ,sub-component_all/3TXQ_0-0-0-0_4.pdb,0.9754
1PCQ,sub-component_all/1PCQ_0-0-1-1_1.pdb,0.8518
5JQL,sub-component_all/5JQL_0-1-1-1_2.pdb,0.5073
7CGE,sub-component_all/7CGE_1-2-3_1.pdb,0.6924
1MFR,sub-component_all/1MFR_0-0-0-0_3.pdb,0.9687
2DD4,sub-component_all/2DD4_0-1-2-2_4.pdb,0.8859
1Z6O,sub-component_all/1Z6O_0-0-0-0_2.pdb,0.3548
5K2M,sub-component_all/5K2M_1-1-1_3.pdb,0.3534
6Z1F,sub-component_all/6Z1F_0-2-2-2_0.pdb,0.5067
4JPN,sub-component_all/4JPN_0-0-0-0_4.pdb,0.31
7CGE,sub-component_all/7CGE_1-1-3_1.pdb,0.7663
5B04,sub-component_all/5B04_023.pdb,0.7876
6RO0,sub-component_all/6RO0_1-3-3_2.pdb,0.783
1VDM,sub-component_all/1VDM_0-0-0-0_2.pdb,0.6399
6FWH,sub-component_all/6FWH_0-0-0-0_3.pdb,0.9678
2V5H,sub-component_all/2V5H_0-0-0-1_2.pdb,0.7905
6G94,sub-component_all/6G94_0-1-1-1_4.pdb,0.7321
7JZ2,sub-component_all/7JZ2_0-2-3_1.pdb,0.621
3KIF,sub-component_all/3KIF_0-0-0-0_4.pdb,0.417
6RO0,sub-component_all/6RO0_2-3-4_3.pdb,0.743
1GH0,sub-component_all/1GH0_1-1-1_3.pdb,0.3971
7JZ2,sub-component_all/7JZ2_0-3-3_3.pdb,0.6692
1JYM,sub-component_all/1JYM_0-0-0-0_4.pdb,0.356
6MST,sub-component_all/6MST_0-0-0-0_4.pdb,0.2025
1BHC,sub-component_all/1BHC_0-0-0-0_0.pdb,0.3692
5B04,sub-component_all/5B04_004.pdb,0.7595
5B04,sub-component_all/5B04_014.pdb,0.7323
7JZ2,sub-component_all/7JZ2_0-0-2_3.pdb,0.4428
5CW7,sub-component_all/5CW7_1-1-1-1_0.pdb,0.4119
1Q5Q,sub-component_all/1Q5Q_1-1-1-1_3.pdb,0.4868
6Z1F,sub-component_all/6Z1F_0-0-0-0_1.pdb,0.8427
6SQR,sub-component_all/6SQR_000.pdb,0.673
1X9F,sub-component_all/1X9F_3-3-3_4.pdb,0.4977
6RO0,sub-component_all/6RO0_0-0-4_3.pdb,0.4245
3LAY,sub-component_all/3LAY_0-0-0-0_3.pdb,0.4429
6OSJ,sub-component_all/6OSJ_0-0-0-0_1.pdb,0.1681
7JZ2,sub-component_all/7JZ2_1-1-2_0.pdb,0.616
5ODC,sub-component_all/5ODC_000.pdb,0.6501
4RDQ,sub-component_all/4RDQ_0-0-1-1_0.pdb,0.5937
6J0B,sub-component_all/6J0B_0-0-0-1_0.pdb,0.5432
5B04,sub-component_all/5B04_002.pdb,0.5961
6Z1F,sub-component_all/6Z1F_0-0-1-1_3.pdb,0.6323
3U6X,sub-component_all/3U6X_0-0-0-0_0.pdb,0.6555
2NV2,sub-component_all/2NV2_0-0-0-1_1.pdb,0.9097
2DD4,sub-component_all/2DD4_0-1-1-1_3.pdb,0.8526
1Z6O,sub-component_all/1Z6O_0-0-1-1_4.pdb,0.971
1X9F,sub-component_all/1X9F_0-0-0_0.pdb,0.4469
7CGE,sub-component_all/7CGE_1-3-3_1.pdb,0.4636
6LQH,sub-component_all/6LQH_1-1-1-1_1.pdb,0.2687
3HHW,sub-component_all/3HHW_1-1-1-1_2.pdb,0.965
7JKC,sub-component_all/7JKC_0-0-0-0_2.pdb,0.3685
6RO0,sub-component_all/6RO0_0-1-1_0.pdb,0.4683
3M1A,sub-component_all/3M1A_0-0-0-0_1.pdb,0.5212
7CGE,sub-component_all/7CGE_3-3-3_3.pdb,0.6648
6X04,sub-component_all/6X04_0-0-1-1_0.pdb,0.5127
6OSJ,sub-component_all/6OSJ_0-0-0-0_2.pdb,0.1732
3M0W,sub-component_all/3M0W_0-0-0-0_2.pdb,0.4636
1X9F,sub-component_all/1X9F_1-1-1_1.pdb,0.7012
1GH0,sub-component_all/1GH0_1-1-1_1.pdb,0.3902
6RKE,sub-component_all/6RKE_0-0-0-1_0.pdb,0.9832
6Z16,sub-component_all/6Z16_002.pdb,0.4683
3U6X,sub-component_all/3U6X_1-1-1-1_4.pdb,0.4655
1X9F,sub-component_all/1X9F_0-0-3_3.pdb,0.6337
6Z1F,sub-component_all/6Z1F_0-0-0-2_3.pdb,0.7478
1X9F,sub-component_all/1X9F_3-3-3_1.pdb,0.9611
4RDQ,sub-component_all/4RDQ_0-0-1-1_2.pdb,0.5987
6LNI,sub-component_all/6LNI_0-0-0-0_1.pdb,0.1183
5B04,sub-component_all/5B04_011.pdb,0.8178
6E7D,sub-component_all/6E7D_0-0-0-0_2.pdb,0.6541
1PCQ,sub-component_all/1PCQ_0-1-1-1_4.pdb,0.6618
2VYR,sub-component_all/2VYR_0-0-1-1_1.pdb,0.3218
6ZEE,sub-component_all/6ZEE_1-1-1-1_4.pdb,0.2847
3HHW,sub-component_all/3HHW_0-0-0-0_2.pdb,0.2963
6ZEE,sub-component_all/6ZEE_0-0-0-1_1.pdb,0.4268
6SQR,sub-component_all/6SQR_002.pdb,0.6246
6RO0,sub-component_all/6RO0_0-1-2_2.pdb,0.409
7CGE,sub-component_all/7CGE_2-3-3_2.pdb,0.5531
2C41,sub-component_all/2C41_0-0-0-0_1.pdb,0.5448
6LQH,sub-component_all/6LQH_0-1-1-1_0.pdb,0.4208
7CGE,sub-component_all/7CGE_0-1-2_4.pdb,0.9412
2DD4,sub-component_all/2DD4_0-2-2-2_1.pdb,0.751
1Z6O,sub-component_all/1Z6O_0-0-0-0_3.pdb,0.3801
1X9F,sub-component_all/1X9F_0-0-2_4.pdb,0.7122
6ZEE,sub-component_all/6ZEE_1-1-1-1_0.pdb,0.284
6RO0,sub-component_all/6RO0_2-3-3_4.pdb,0.7815
6G94,sub-component_all/6G94_0-0-0-2_0.pdb,0.6589
5CW7,sub-component_all/5CW7_0-0-0-1_3.pdb,0.6692
1PCQ,sub-component_all/1PCQ_0-1-1-1_2.pdb,0.6677
2DD4,sub-component_all/2DD4_1-2-2-2_4.pdb,0.6871
1RBL,sub-component_all/1RBL_0-1-1-1_4.pdb,0.8965
7JZ2,sub-component_all/7JZ2_1-1-1_0.pdb,0.4006
6ZEE,sub-component_all/6ZEE_0-0-0-0_2.pdb,0.3572
6ESQ,sub-component_all/6ESQ_1-1-1-1_0.pdb,0.4712
2V7Q,sub-component_all/2V7Q_001.pdb,0.9432
1VF7,sub-component_all/1VF7_0-0-0-0_0.pdb,0.5397
6E7D,sub-component_all/6E7D_0-1-1-1_2.pdb,0.5034
5CW7,sub-component_all/5CW7_1-1-1-1_3.pdb,0.434
1Q5Q,sub-component_all/1Q5Q_0-1-1-1_0.pdb,0.6867
5ODC,sub-component_all/5ODC_005.pdb,0.7203
1X9F,sub-component_all/1X9F_0-3-3_1.pdb,0.6821
6NHT,sub-component_all/6NHT_0-0-0-0_0.pdb,0.1945
5JQL,sub-component_all/5JQL_0-0-0-1_2.pdb,0.6041
1X9F,sub-component_all/1X9F_0-0-3_0.pdb,0.6821
6OFG,sub-component_all/6OFG_0-0-0-0_0.pdb,0.3582
5JQL,sub-component_all/5JQL_0-0-0-1_3.pdb,0.4576
7CGE,sub-component_all/7CGE_0-0-0_4.pdb,0.4189
6G94,sub-component_all/6G94_0-0-0-1_2.pdb,0.7648
6GRJ,sub-component_all/6GRJ_0-0-0-0_2.pdb,0.24
5AA5,sub-component_all/5AA5_1-1-1-1_2.pdb,0.5091
4F4S,sub-component_all/4F4S_0-0-0-0_4.pdb,0.9678
5JQL,sub-component_all/5JQL_0-0-0-1_1.pdb,0.4516
6RO0,sub-component_all/6RO0_0-1-3_2.pdb,0.5819
1TR0,sub-component_all/1TR0_0-0-0-0_2.pdb,0.8745
6X04,sub-component_all/6X04_0-0-0-0_3.pdb,0.321
2BX9,sub-component_all/2BX9_0-0-0-0_1.pdb,0.7177
2VYR,sub-component_all/2VYR_0-0-1-1_3.pdb,0.3274
6J0B,sub-component_all/6J0B_0-0-0-0_0.pdb,0.4523
4BHU,sub-component_all/4BHU_0-0-1-1_4.pdb,0.4028
6RO0,sub-component_all/6RO0_1-3-4_4.pdb,0.7873
6J0B,sub-component_all/6J0B_0-0-1-1_3.pdb,0.6665
2A3W,sub-component_all/2A3W_0-0-0-0_2.pdb,0.8349
6ZEE,sub-component_all/6ZEE_0-0-0-1_0.pdb,0.4303
3VG8,sub-component_all/3VG8_0-0-0-0_2.pdb,0.442
2V18,sub-component_all/2V18_0-0-0-0_1.pdb,0.7326
6SQR,sub-component_all/6SQR_112.pdb,0.4824
6RO0,sub-component_all/6RO0_1-1-2_3.pdb,0.4397
6N3P,sub-component_all/6N3P_1-1-1-1_0.pdb,0.3737
6RO0,sub-component_all/6RO0_1-4-4_2.pdb,0.7611
3KIF,sub-component_all/3KIF_0-0-0-0_2.pdb,0.4862
7JQZ,sub-component_all/7JQZ_0-0-0-0_0.pdb,0.9466
7CGE,sub-component_all/7CGE_3-3-3_1.pdb,0.6605
6UWR,sub-component_all/6UWR_0-0-0-0_1.pdb,0.8252
1PCQ,sub-component_all/1PCQ_0-0-1-1_0.pdb,0.8534
2VYR,sub-component_all/2VYR_1-1-1-1_4.pdb,0.3336
1GH0,sub-component_all/1GH0_1-1-1_0.pdb,0.4397
5AA5,sub-component_all/5AA5_1-1-1-1_4.pdb,0.469
6LQH,sub-component_all/6LQH_0-0-1-1_0.pdb,0.5549
6RO0,sub-component_all/6RO0_1-1-2_0.pdb,0.4051
1X9F,sub-component_all/1X9F_2-2-3_2.pdb,0.7034
3R90,sub-component_all/3R90_0-0-0-0_3.pdb,0.3869
7JJP,sub-component_all/7JJP_0-0-0-0_0.pdb,0.4439
1L6W,sub-component_all/1L6W_0-0-0-0_0.pdb,0.99
6RO0,sub-component_all/6RO0_1-4-4_3.pdb,0.7162
6SQR,sub-component_all/6SQR_022.pdb,0.4641
6N3P,sub-component_all/6N3P_0-0-0-0_3.pdb,0.9333
6E7D,sub-component_all/6E7D_0-0-0-1_2.pdb,0.7215
1X9F,sub-component_all/1X9F_1-2-3_3.pdb,0.6739
6NHT,sub-component_all/6NHT_0-0-0-1_3.pdb,0.2249
3VG8,sub-component_all/3VG8_0-0-0-0_1.pdb,0.4179
6ESQ,sub-component_all/6ESQ_0-0-2-2_4.pdb,0.6227
1HKX,sub-component_all/1HKX_0-0-0-0_0.pdb,0.9106
7CGE,sub-component_all/7CGE_2-2-3_3.pdb,0.3715
2V5H,sub-component_all/2V5H_1-1-1-1_3.pdb,0.4875
6SQR,sub-component_all/6SQR_045.pdb,0.6879
6J0B,sub-component_all/6J0B_0-0-1-1_0.pdb,0.634
7CGE,sub-component_all/7CGE_0-0-2_2.pdb,0.8493
1QAW,sub-component_all/1QAW_0-0-0-0_4.pdb,0.9173
6SQR,sub-component_all/6SQR_015.pdb,0.9678
5JQL,sub-component_all/5JQL_1-1-1-1_3.pdb,0.2397
7CGE,sub-component_all/7CGE_0-3-3_1.pdb,0.5555
1X9F,sub-component_all/1X9F_1-1-1_0.pdb,0.5953
6S5L,sub-component_all/6S5L_0-0-0-0_3.pdb,0.4917
3U6X,sub-component_all/3U6X_1-1-1-1_1.pdb,0.4549
7JZ2,sub-component_all/7JZ2_0-0-1_3.pdb,0.5402
5CW7,sub-component_all/5CW7_0-0-1-1_0.pdb,0.8645
5AA5,sub-component_all/5AA5_0-0-0-1_3.pdb,0.7671
7JZ2,sub-component_all/7JZ2_0-3-3_2.pdb,0.6613
7CGE,sub-component_all/7CGE_2-2-2_4.pdb,0.4465
6Z1F,sub-component_all/6Z1F_0-0-0-2_0.pdb,0.8122
1TR0,sub-component_all/1TR0_0-0-0-0_4.pdb,0.5163
4EJ0,sub-component_all/4EJ0_0-0-0-0_0.pdb,0.9519
2DD4,sub-component_all/2DD4_0-0-0-1_2.pdb,0.6837
