"id","no. of individual chains","no. of chains","global symmetry","Symmetry","stoichiometry","Oligomer type"
"5B04",5,10,"C2","cyclic","A2B2C2D2E2","heteromer"
"5BSE",1,10,"D5","dihedral","A10","homomer"
"5CW7",2,16,"C2","cyclic","A8B8","heteromer"
"5F2Q",1,10,"D5","dihedral","A10","homomer"
"5J09",1,10,"D5","dihedral","A10","homomer"
"5JQL",2,12,"D3","dihedral","A6B6","heteromer"
"5JYX",1,10,"D5","dihedral","A10","homomer"
"5K2M",4,14,"C1","asymmetric","A8B2C2D2","heteromer"
"5LK5",1,10,"C1","asymmetric","A10","homomer"
"5N5E",1,10,"D5","dihedral","A10","homomer"
"5NFR",1,16,"C2","cyclic","A16","homomer"
"5ODC",6,12,"C2","cyclic","A2B2C2D2E2F2","heteromer"
"5OVS",1,14,"D7","dihedral","A14","homomer"
"5T11",1,12,"C12","cyclic","A12","homomer"
"5TRM",1,24,"O","octahedral","A24","homomer"
"5UK3",1,10,"D5","dihedral","A10","homomer"
"5XPB",1,10,"H","helical","A10","homomer"
"6E7D",2,12,"D2","dihedral","A8B4","heteromer"
"6ESQ",3,12,"D2","dihedral","A4B4C4","heteromer"
"6FWH",1,24,"O","octahedral","A24","homomer"
"6G94",3,10,"C2","cyclic","A4B4C2","heteromer"
"6GRJ",1,10,"C5","cyclic","A10","homomer"
"6J0B",2,24,"C6","cyclic","A12B12","heteromer"
"6JCV",1,12,"T","tetrahedral","A12","homomer"
"6KRB",1,12,"T","tetrahedral","A12","homomer"
"6KWY",15,29,"C1","asymmetric","A2B2C2D2E2F2G2H2I2J2K2L2M2N2O1","heteromer"
"6LNI",1,10,"C2","cyclic","A10","homomer"
"6LQH",2,18,"C9","cyclic","A9B9","heteromer"
"6M3X",1,24,"O","octahedral","A24","homomer"
"6MRT",1,12,"C12","cyclic","A12","homomer"
"6MST",1,12,"C2","cyclic","A12","homomer"
"6N3P",2,12,"D3","dihedral","A6B6","heteromer"
"6NHT",2,24,"T","tetrahedral","A12B12","heteromer"
"6OFG",1,18,"H","helical","A18","homomer"
"6OSJ",1,10,"C2","cyclic","A10","homomer"
"6OVH",1,12,"T","tetrahedral","A12","homomer"
"6PYT",2,24,"C6","cyclic","A12B12","heteromer"
"6QLV",2,12,"T","tetrahedral","A4B4","heteromer"
"6QSU",2,24,"T","tetrahedral","A12B12","heteromer"
"6RD7",9,18,"C1","asymmetric","A10B1C1D1E1F1G1H1I1","heteromer"
"6RDB",7,20,"C1","asymmetric","A10B3C3D1E1F1G1","heteromer"
"6RKE",2,12,"D3","dihedral","A6B6","heteromer"
"6RO0",5,12,"C2","cyclic","A4B2C2D2E2","heteromer"
"6S5L",1,12,"C1","asymmetric","A12","homomer"
"6SDZ",1,11,"C1","asymmetric","A11","homomer"
"6SQR",3,12,"C1","asymmetric","A4B4C4","heteromer"
"6SSI",2,10,"C5","cyclic","A5B5","heteromer"
"6UIW",1,11,"C11","cyclic","A11","homomer"
"6UWR",1,14,"C7","cyclic","A14","homomer"
"6W6M",1,14,"C14","cyclic","A14","homomer"
"6WBN",1,14,"D7","dihedral","A14","homomer"
"6X04",2,12,"D3","dihedral","A6B6","heteromer"
"6YBQ",2,12,"D3","dihedral","A6B6","heteromer"
"6Z16",7,14,"C2","cyclic","A2B2C2D2E2F2G2","heteromer"
"6Z1F",3,22,"C1","asymmetric","A8B8C6","heteromer"
"6ZEE",2,12,"C2","cyclic","A6B6","heteromer"
"6ZK9",18,18,"C1","asymmetric","A1B1C1D1E1F1G1H1I1J1K1L1M1N1O1P1Q1R1","heteromer"
"6ZKB",29,29,"C1","asymmetric","A1B1C1D1E1F1G1H1I1J1K1L1M1N1O1P1Q1R1S1T1U1V1W1X1Y1Z1a1b1c1","heteromer"
"7AJP",1,12,"C1","asymmetric","A12","homomer"
"7C4J",11,12,"C1","asymmetric","A2B1C1D1E1F1G1H1I1J1K1","heteromer"
"7CGE",4,12,"C2","cyclic","A6B2C2D2","heteromer"
"7JJP",1,12,"D6","dihedral","A12","homomer"
"7JKC",1,12,"D6","dihedral","A12","homomer"
"7JQZ",1,10,"D5","dihedral","A10","homomer"
"7JZ2",4,12,"C3","cyclic","A3B3C3D3","heteromer"
"7NRQ",1,10,"C2","cyclic","A10","homomer"
